run_name;model_family;encoder;train_mode;size_hw;epochs;batch;aug;aug_repeats;loss_name;test_mIoU;val_mIoU;val_loss;train_time_sec;last_lr;n_epochs_ran;run_dir;test_loss;infer_ms_per_img;test_mIoU_7_no_void;test_mIoU_8_including_void;last_loss;last_val_loss;best_val_loss;best_val_loss_epoch;last_mIoU;last_val_mIoU;best_val_mIoU;best_val_mIoU_epoch;val_mIoU_tail_mean;val_mIoU_tail_std;best_model_path;best_pt_path;has_keras;has_pytorch;size_mb;pred_grid_png;loss_png;miou_png;score_main
CONVNEXT_TINY_FT_512x512_b4_aug1_ce_dice_e20_seed42;unet;convnext_tiny;finetune;(512, 512);20.0;4;VRAI;1;ce_dice;0.8402332067489624;0.8255760073661804;0.261525958776474;5253.866532087326;0.0003000000142492354;20.0;/home/runner/workspace/out/experiments/CONVNEXT_TINY_FT_512x512_b4_aug1_ce_dice_e20_seed42;0.2241666167974472;;;;0.2093673199415207;0.261525958776474;0.25546467304229736;19.0;0.8342673778533936;0.8255760073661804;0.8255760073661804;20.0;0.8230923414230347;0.001833497197367251;;;FAUX;FAUX;;/home/runner/workspace/out/experiments/CONVNEXT_TINY_FT_512x512_b4_aug1_ce_dice_e20_seed42/pred_grid.png;/home/runner/workspace/out/experiments/CONVNEXT_TINY_FT_512x512_b4_aug1_ce_dice_e20_seed42/loss.png;/home/runner/workspace/out/experiments/CONVNEXT_TINY_FT_512x512_b4_aug1_ce_dice_e20_seed42/miou.png;0.8402332067489624
VGG16_FT_512x512_b4_aug1_ce_dice_e20_seed42;unet;vgg16;finetune;(512, 512);20.0;4;VRAI;1;ce_dice;0.8114193677902222;0.7970172762870789;0.29462549090385437;6715.994060516357;0.0003000000142492354;20.0;/home/runner/workspace/out/experiments/VGG16_FT_512x512_b4_aug1_ce_dice_e20_seed42;0.26263993978500366;;;;0.33084985613822937;0.29462549090385437;0.29462549090385437;20.0;0.7657116055488586;0.7970172762870789;0.7970172762870789;20.0;0.7845232486724854;0.010144459083676338;;;FAUX;FAUX;;/home/runner/workspace/out/experiments/VGG16_FT_512x512_b4_aug1_ce_dice_e20_seed42/pred_grid.png;/home/runner/workspace/out/experiments/VGG16_FT_512x512_b4_aug1_ce_dice_e20_seed42/loss.png;/home/runner/workspace/out/experiments/VGG16_FT_512x512_b4_aug1_ce_dice_e20_seed42/miou.png;0.8114193677902222
CONVNEXT_TINY_FROZEN_512x512_b4_aug1_ce_dice_e20_seed42;unet;convnext_tiny;frozen;(512, 512);20.0;4;VRAI;1;ce_dice;0.8088800311088562;0.7965244054794312;0.2895760238170624;4112.461127758026;0.0003000000142492354;19.0;/home/runner/workspace/out/experiments/CONVNEXT_TINY_FROZEN_512x512_b4_aug1_ce_dice_e20_seed42;0.26128390431404114;;;;0.3259461522102356;0.29255956411361694;0.2892487049102783;18.0;0.7670841217041016;0.7920799255371094;0.7965244054794312;16.0;0.7944432497024536;0.0017744314391165972;;;FAUX;FAUX;;/home/runner/workspace/out/experiments/CONVNEXT_TINY_FROZEN_512x512_b4_aug1_ce_dice_e20_seed42/pred_grid.png;/home/runner/workspace/out/experiments/CONVNEXT_TINY_FROZEN_512x512_b4_aug1_ce_dice_e20_seed42/loss.png;/home/runner/workspace/out/experiments/CONVNEXT_TINY_FROZEN_512x512_b4_aug1_ce_dice_e20_seed42/miou.png;0.8088800311088562
SEGFORMER_MITB0_FROZEN_512x512_b4_aug1_ce_dice_e20_seed42;segformer;mit;frozen;(512, 512);20.0;4;VRAI;1;ce_dice;0.7951079607009888;0.7804833054542542;0.29862603545188904;4362.107657670975;0.0003000000142492354;20.0;/home/runner/workspace/out/experiments/SEGFORMER_MITB0_FROZEN_512x512_b4_aug1_ce_dice_e20_seed42;0.2622423470020294;;;;0.40856415033340454;0.29862603545188904;0.29862603545188904;20.0;0.7191388010978699;0.7804833054542542;0.7804833054542542;20.0;0.7795503735542297;0.0005188368377275765;;;FAUX;FAUX;;/home/runner/workspace/out/experiments/SEGFORMER_MITB0_FROZEN_512x512_b4_aug1_ce_dice_e20_seed42/pred_grid.png;/home/runner/workspace/out/experiments/SEGFORMER_MITB0_FROZEN_512x512_b4_aug1_ce_dice_e20_seed42/loss.png;/home/runner/workspace/out/experiments/SEGFORMER_MITB0_FROZEN_512x512_b4_aug1_ce_dice_e20_seed42/miou.png;0.7951079607009888
CONVNEXT_TINY_FT_256x256_b4_aug1_ce_dice;unet;convnext_tiny;finetune;(256, 256);;4;VRAI;1;ce_dice;0.7926158905029297;0.773752748966217;0.3277876079082489;19912.9181497097;0.0002500000118743628;30.0;/home/runner/workspace/out/experiments/CONVNEXT_TINY_FT_256x256_b4_aug1_ce_dice;0.28853684663772583;;;;0.2694661021232605;0.3277876079082489;0.3263571858406067;23.0;0.7913674116134644;0.773752748966217;0.773752748966217;30.0;0.7717377543449402;0.0012134354328736663;;;FAUX;FAUX;;/home/runner/workspace/out/experiments/CONVNEXT_TINY_FT_256x256_b4_aug1_ce_dice/pred_grid.png;/home/runner/workspace/out/experiments/CONVNEXT_TINY_FT_256x256_b4_aug1_ce_dice/loss.png;/home/runner/workspace/out/experiments/CONVNEXT_TINY_FT_256x256_b4_aug1_ce_dice/miou.png;0.7926158905029297
SEGFORMER_MITB0_FT_512x512_b4_aug1_ce_dice_e20_seed42;segformer;mit;finetune;(512, 512);20.0;4;VRAI;1;ce_dice;0.7901732325553894;0.7782219648361206;0.30545926094055176;2501.778820991516;0.0003000000142492354;11.0;/home/runner/workspace/out/experiments/SEGFORMER_MITB0_FT_512x512_b4_aug1_ce_dice_e20_seed42;0.27571630477905273;;;;0.31884628534317017;0.3035966157913208;0.3035966157913208;11.0;0.7651760578155518;0.7778011560440063;0.7782219648361206;8.0;0.7756563425064087;0.002002922585234046;;;FAUX;FAUX;;/home/runner/workspace/out/experiments/SEGFORMER_MITB0_FT_512x512_b4_aug1_ce_dice_e20_seed42/pred_grid.png;/home/runner/workspace/out/experiments/SEGFORMER_MITB0_FT_512x512_b4_aug1_ce_dice_e20_seed42/loss.png;/home/runner/workspace/out/experiments/SEGFORMER_MITB0_FT_512x512_b4_aug1_ce_dice_e20_seed42/miou.png;0.7901732325553894
RESNET50_FROZEN_512x512_b4_aug1_ce_dice_e20_seed42;unet;resnet50;frozen;(512, 512);20.0;4;VRAI;1;ce_dice;0.789840042591095;0.7753569483757019;0.31981438398361206;3474.777528524399;0.0003000000142492354;16.0;/home/runner/workspace/out/experiments/RESNET50_FROZEN_512x512_b4_aug1_ce_dice_e20_seed42;0.2883126735687256;;;;0.33561840653419495;0.3445952832698822;0.31981438398361206;13.0;0.7581503987312317;0.7715304493904114;0.7753569483757019;13.0;0.7727232575416565;0.0024106076452881098;;;FAUX;FAUX;;/home/runner/workspace/out/experiments/RESNET50_FROZEN_512x512_b4_aug1_ce_dice_e20_seed42/pred_grid.png;/home/runner/workspace/out/experiments/RESNET50_FROZEN_512x512_b4_aug1_ce_dice_e20_seed42/loss.png;/home/runner/workspace/out/experiments/RESNET50_FROZEN_512x512_b4_aug1_ce_dice_e20_seed42/miou.png;0.789840042591095
RESNET50_FT_256x256_b4_aug1_ce_dice;unet;resnet50;finetune;(256, 256);;4;VRAI;1;ce_dice;0.7885664701461792;0.7703670859336853;0.32837924361228943;13115.993470668793;0.0005000000237487257;30.0;/home/runner/workspace/out/experiments/RESNET50_FT_256x256_b4_aug1_ce_dice;0.28852367401123047;;;;0.28528788685798645;0.33338111639022827;0.32836881279945374;28.0;0.7815990447998047;0.7703615427017212;0.7703670859336853;29.0;0.7655898928642273;0.005811895243823528;;;FAUX;FAUX;;/home/runner/workspace/out/experiments/RESNET50_FT_256x256_b4_aug1_ce_dice/pred_grid.png;/home/runner/workspace/out/experiments/RESNET50_FT_256x256_b4_aug1_ce_dice/loss.png;/home/runner/workspace/out/experiments/RESNET50_FT_256x256_b4_aug1_ce_dice/miou.png;0.7885664701461792
RESNET50_FT_512x512_b4_aug1_ce_dice_e20_seed42;unet;resnet50;finetune;(512, 512);20.0;4;VRAI;1;ce_dice;0.7879180312156677;0.7715005874633789;0.3268219530582428;3421.492373228073;0.0003000000142492354;14.0;/home/runner/workspace/out/experiments/RESNET50_FT_512x512_b4_aug1_ce_dice_e20_seed42;0.29319021105766296;;;;0.32845568656921387;0.3546474874019623;0.3268219530582428;11.0;0.7619224786758423;0.7584500908851624;0.7715005874633789;11.0;0.7514685392379761;0.021393153816461563;;;FAUX;FAUX;;/home/runner/workspace/out/experiments/RESNET50_FT_512x512_b4_aug1_ce_dice_e20_seed42/pred_grid.png;/home/runner/workspace/out/experiments/RESNET50_FT_512x512_b4_aug1_ce_dice_e20_seed42/loss.png;/home/runner/workspace/out/experiments/RESNET50_FT_512x512_b4_aug1_ce_dice_e20_seed42/miou.png;0.7879180312156677
UNET_CONVNEXT_TINY_256x256_b4_aug1_rep1_ce_dice_e50ft30_seed42;unet;convnext_tiny;finetune;(256, 256);50.0;4;VRAI;1;ce_dice;0.7758796215057373;0.7598128318786621;0.361396849155426;16590.539647579193;;;/home/runner/workspace/out/experiments/UNET_CONVNEXT_TINY_256x256_b4_aug1_rep1_ce_dice_e50ft30_seed42;0.32271942496299744;;;;;;;;;;;;;;;;FAUX;FAUX;;/home/runner/workspace/out/experiments/UNET_CONVNEXT_TINY_256x256_b4_aug1_rep1_ce_dice_e50ft30_seed42/pred_grid.png;;/home/runner/workspace/out/experiments/UNET_CONVNEXT_TINY_256x256_b4_aug1_rep1_ce_dice_e50ft30_seed42/miou.png;0.7758796215057373
CONVNEXT_TINY_FROZEN_256x256_b4_aug1_ce_dice;unet;convnext_tiny;frozen;(256, 256);;4;VRAI;1;ce_dice;0.7735310792922974;0.7574819326400757;0.357744425535202;17003.96164083481;0.0002500000118743628;40.0;/home/runner/workspace/out/experiments/CONVNEXT_TINY_FROZEN_256x256_b4_aug1_ce_dice;0.3211020827293396;;;;0.32805103063583374;0.35712143778800964;0.3545345366001129;31.0;0.7588039636611938;0.7567077875137329;0.7574819326400757;39.0;0.7565656900405884;0.0008501553093083203;;;FAUX;FAUX;;/home/runner/workspace/out/experiments/CONVNEXT_TINY_FROZEN_256x256_b4_aug1_ce_dice/pred_grid.png;/home/runner/workspace/out/experiments/CONVNEXT_TINY_FROZEN_256x256_b4_aug1_ce_dice/loss.png;/home/runner/workspace/out/experiments/CONVNEXT_TINY_FROZEN_256x256_b4_aug1_ce_dice/miou.png;0.7735310792922974
