run_name,run_dir,model_family,encoder,train_mode,size_hw,epochs,batch,aug,aug_repeats,loss_name,val_loss,val_mIoU,test_loss,test_mIoU,train_time_sec,last_loss,last_val_loss,best_val_loss,best_val_loss_epoch,last_mIoU,last_val_mIoU,best_val_mIoU,best_val_mIoU_epoch,val_mIoU_tail_mean,val_mIoU_tail_std,last_lr,n_epochs_ran,best_model_path,pred_grid_png,loss_png,miou_png,score_main
SEGFORMER_MITB0_FROZEN_512x512_b4_aug1_ce_dice_e20_seed42,/home/ui/PROJ9/out/experiments/SEGFORMER_MITB0_FROZEN_512x512_b4_aug1_ce_dice_e20_seed42,,,frozen,"(512, 512)",20.0,4,True,1,ce_dice,0.29862603545188904,0.7804833054542542,0.2622423470020294,0.7951079607009888,4362.107657670975,0.40856415033340454,0.29862603545188904,0.29862603545188904,20.0,0.7191388010978699,0.7804833054542542,0.7804833054542542,20.0,0.7795503735542297,0.0005188368377275765,0.0003000000142492354,20.0,,/home/ui/PROJ9/out/experiments/SEGFORMER_MITB0_FROZEN_512x512_b4_aug1_ce_dice_e20_seed42/pred_grid.png,/home/ui/PROJ9/out/experiments/SEGFORMER_MITB0_FROZEN_512x512_b4_aug1_ce_dice_e20_seed42/loss.png,/home/ui/PROJ9/out/experiments/SEGFORMER_MITB0_FROZEN_512x512_b4_aug1_ce_dice_e20_seed42/miou.png,0.7951079607009888
SEGFORMER_MITB0_FT_256x256_b2_aug1_rep1_ce_dice_e30_seed42,/home/ui/PROJ9/out/experiments/SEGFORMER_MITB0_FT_256x256_b2_aug1_rep1_ce_dice_e30_seed42,,,finetune,"(256, 256)",30.0,2,True,1,ce_dice,0.4378983974456787,0.6965703964233398,0.39989668130874634,0.7129064202308655,14761.029315948486,0.44891321659088135,0.4444415867328644,0.4378983974456787,29.0,0.6880523562431335,0.6891569495201111,0.6965703964233398,29.0,0.6928185224533081,0.0029773327987641096,0.0005000000237487257,30.0,,,,,0.7129064202308655
SEGFORMER_MITB0_FT_256x256_b4_aug1_ce_dice_e40_seed42,/home/ui/PROJ9/out/experiments/SEGFORMER_MITB0_FT_256x256_b4_aug1_ce_dice_e40_seed42,,,finetune,"(256, 256)",40.0,4,True,1,ce_dice,0.3919050693511963,0.7210680842399597,0.35343703627586365,0.7362686395645142,14059.287629842758,0.35937562584877014,0.39362606406211853,0.3919050693511963,39.0,0.7301915884017944,0.7201076745986938,0.7210680842399597,39.0,0.7200816869735718,0.0008142705191858113,0.0001250000059371814,40.0,,/home/ui/PROJ9/out/experiments/SEGFORMER_MITB0_FT_256x256_b4_aug1_ce_dice_e40_seed42/pred_grid.png,/home/ui/PROJ9/out/experiments/SEGFORMER_MITB0_FT_256x256_b4_aug1_ce_dice_e40_seed42/loss.png,/home/ui/PROJ9/out/experiments/SEGFORMER_MITB0_FT_256x256_b4_aug1_ce_dice_e40_seed42/miou.png,0.7362686395645142
SEGFORMER_MITB0_FT_512x512_b4_aug0_ce_dice_e40_seed42,/home/ui/PROJ9/out/experiments/SEGFORMER_MITB0_FT_512x512_b4_aug0_ce_dice_e40_seed42,,,finetune,"(512, 512)",40.0,4,False,1,ce_dice,0.3157741129398346,0.7730573415756226,0.2834286093711853,0.7860809564590454,3746.210769891739,0.27261704206466675,0.3271162807941437,0.3134666979312897,7.0,0.787251889705658,0.7679905295372009,0.7730573415756226,6.0,0.7681000828742981,0.0073059918358922005,0.0003000000142492354,9.0,,/home/ui/PROJ9/out/experiments/SEGFORMER_MITB0_FT_512x512_b4_aug0_ce_dice_e40_seed42/pred_grid.png,/home/ui/PROJ9/out/experiments/SEGFORMER_MITB0_FT_512x512_b4_aug0_ce_dice_e40_seed42/loss.png,/home/ui/PROJ9/out/experiments/SEGFORMER_MITB0_FT_512x512_b4_aug0_ce_dice_e40_seed42/miou.png,0.7860809564590454
SEGFORMER_MITB0_FT_512x512_b4_aug1_ce_dice_e10_seed42,/home/ui/PROJ9/out/experiments/SEGFORMER_MITB0_FT_512x512_b4_aug1_ce_dice_e10_seed42,,,finetune,"(512, 512)",10.0,4,True,1,ce_dice,0.34346824884414673,0.7573314905166626,0.305801659822464,0.7730424404144287,2482.434545278549,0.3594862222671509,0.34346824884414673,0.3399665951728821,8.0,0.7386430501937866,0.7573314905166626,0.7573314905166626,10.0,0.7448731660842896,0.013499380089342594,0.0003000000142492354,10.0,,/home/ui/PROJ9/out/experiments/SEGFORMER_MITB0_FT_512x512_b4_aug1_ce_dice_e10_seed42/pred_grid.png,/home/ui/PROJ9/out/experiments/SEGFORMER_MITB0_FT_512x512_b4_aug1_ce_dice_e10_seed42/loss.png,/home/ui/PROJ9/out/experiments/SEGFORMER_MITB0_FT_512x512_b4_aug1_ce_dice_e10_seed42/miou.png,0.7730424404144287
SEGFORMER_MITB0_FT_512x512_b4_aug1_ce_dice_e20_seed42,/home/ui/PROJ9/out/experiments/SEGFORMER_MITB0_FT_512x512_b4_aug1_ce_dice_e20_seed42,,,finetune,"(512, 512)",20.0,4,True,1,ce_dice,0.30545926094055176,0.7782219648361206,0.27571630477905273,0.7901732325553894,2501.778820991516,0.31884628534317017,0.3035966157913208,0.3035966157913208,11.0,0.7651760578155518,0.7778011560440063,0.7782219648361206,8.0,0.7756563425064087,0.002002922585234046,0.0003000000142492354,11.0,,/home/ui/PROJ9/out/experiments/SEGFORMER_MITB0_FT_512x512_b4_aug1_ce_dice_e20_seed42/pred_grid.png,/home/ui/PROJ9/out/experiments/SEGFORMER_MITB0_FT_512x512_b4_aug1_ce_dice_e20_seed42/loss.png,/home/ui/PROJ9/out/experiments/SEGFORMER_MITB0_FT_512x512_b4_aug1_ce_dice_e20_seed42/miou.png,0.7901732325553894
UNET_CONVNEXT_TINY_256x256_b4_aug1_rep1_ce_dice_frozen_e40_seed42,/home/ui/PROJ9/out/experiments/UNET_CONVNEXT_TINY_256x256_b4_aug1_rep1_ce_dice_frozen_e40_seed42,unet,scratch,frozen,"(256, 256)",40.0,4,True,1,ce_dice,,,,,,,,,,,,,,,,,,,,,,
UNET_SCRATCH_1024x1024_b1_aug1_ce_dice_e5_seed42,/home/ui/PROJ9/out/experiments/UNET_SCRATCH_1024x1024_b1_aug1_ce_dice_e5_seed42,unet,scratch,scratch,"(1024, 1024)",5.0,1,True,1,ce_dice,0.8840097784996033,0.5270887017250061,0.8199281096458435,0.5428440570831299,2428.6485776901245,0.5363292098045349,0.8840097784996033,0.8840097784996033,5.0,0.6609516143798828,0.5270887017250061,0.5270887017250061,5.0,0.4594300389289856,0.0515567772090435,0.0003000000142492354,5.0,,/home/ui/PROJ9/out/experiments/UNET_SCRATCH_1024x1024_b1_aug1_ce_dice_e5_seed42/pred_grid.png,/home/ui/PROJ9/out/experiments/UNET_SCRATCH_1024x1024_b1_aug1_ce_dice_e5_seed42/loss.png,/home/ui/PROJ9/out/experiments/UNET_SCRATCH_1024x1024_b1_aug1_ce_dice_e5_seed42/miou.png,0.5428440570831299
UNET_SCRATCH_1024x1024_b2_aug1_ce_dice_e5_seed42,/home/ui/PROJ9/out/experiments/UNET_SCRATCH_1024x1024_b2_aug1_ce_dice_e5_seed42,unet,scratch,scratch,"(1024, 1024)",5.0,2,True,1,ce_dice,,,,,,,,,,,,,,,,,,,,,,
UNET_SCRATCH_128x128_b8_aug0_rep1_ce_e5_seed42,/home/ui/PROJ9/out/experiments/UNET_SCRATCH_128x128_b8_aug0_rep1_ce_e5_seed42,unet,scratch,scratch,"(128, 128)",5.0,8,False,1,ce,0.3678223788738251,0.6281362175941467,0.3359902501106262,0.6488019227981567,1182.3437721729279,0.3274695575237274,0.3678223788738251,0.3678223788738251,5.0,0.6495575904846191,0.6281362175941467,0.6281362175941467,5.0,0.5478984713554382,0.08444957435131073,0.0010000000474974513,5.0,/home/ui/PROJ9/out/experiments/UNET_SCRATCH_128x128_b8_aug0_rep1_ce_e5_seed42/UNET_SCRATCH_128x128_b8_aug0_rep1_ce_e5_seed42.keras,/home/ui/PROJ9/out/experiments/UNET_SCRATCH_128x128_b8_aug0_rep1_ce_e5_seed42/pred_grid.png,/home/ui/PROJ9/out/experiments/UNET_SCRATCH_128x128_b8_aug0_rep1_ce_e5_seed42/loss.png,/home/ui/PROJ9/out/experiments/UNET_SCRATCH_128x128_b8_aug0_rep1_ce_e5_seed42/miou.png,0.6488019227981567
