epoch,learning_rate,loss,mIoU,val_loss,val_mIoU
0,9.999999747378752e-05,0.3078691363334656,0.7693440318107605,0.3604840338230133,0.7584453821182251
1,9.999999747378752e-05,0.3068113327026367,0.7719947695732117,0.359573632478714,0.7592334747314453
2,9.999999747378752e-05,0.30433574318885803,0.7723166942596436,0.3586784601211548,0.7593176364898682
3,9.999999747378752e-05,0.3081364035606384,0.7691817283630371,0.3612174987792969,0.7591385245323181
4,9.999999747378752e-05,0.30829715728759766,0.769824743270874,0.35915493965148926,0.7593770027160645
5,9.999999747378752e-05,0.30427420139312744,0.7733145952224731,0.3613329827785492,0.7592130899429321
6,9.999999747378752e-05,0.3044669032096863,0.7723655700683594,0.36014246940612793,0.7589110136032104
7,9.999999747378752e-05,0.3074296712875366,0.7694995403289795,0.36173388361930847,0.7588412761688232
8,9.999999747378752e-05,0.304627388715744,0.7715059518814087,0.36039242148399353,0.759209930896759
9,4.999999873689376e-05,0.30148211121559143,0.7746245861053467,0.35974743962287903,0.759311318397522
10,4.999999873689376e-05,0.2976609170436859,0.7764742374420166,0.36051908135414124,0.7594024538993835
11,4.999999873689376e-05,0.29857203364372253,0.7754149436950684,0.36133328080177307,0.7594566345214844
12,4.999999873689376e-05,0.3040713667869568,0.7725531458854675,0.3604920506477356,0.7594667077064514
13,2.499999936844688e-05,0.3037380576133728,0.771858811378479,0.359821617603302,0.759757936000824
14,2.499999936844688e-05,0.2995707392692566,0.7755416631698608,0.3607141077518463,0.7594632506370544
15,2.499999936844688e-05,0.3052360415458679,0.7692872285842896,0.3602496087551117,0.7595828771591187
16,2.499999936844688e-05,0.3098365068435669,0.7688940763473511,0.36053651571273804,0.7593694925308228
17,2.499999936844688e-05,0.2944740951061249,0.7779083847999573,0.36069801449775696,0.7595365047454834
18,1.249999968422344e-05,0.3059749901294708,0.7716169953346252,0.3606026768684387,0.7594804763793945
19,1.249999968422344e-05,0.29392775893211365,0.7794830203056335,0.36093902587890625,0.759528636932373
20,1.249999968422344e-05,0.2974283993244171,0.7754935026168823,0.3604080080986023,0.7596120834350586
21,1.249999968422344e-05,0.29749712347984314,0.7769627571105957,0.361396849155426,0.7598128318786621
22,6.24999984211172e-06,0.29904767870903015,0.7754843831062317,0.3605503439903259,0.7596901059150696
23,6.24999984211172e-06,0.29953962564468384,0.7734901309013367,0.36085745692253113,0.7597609162330627
24,6.24999984211172e-06,0.3013201057910919,0.7733579874038696,0.36090055108070374,0.7596275806427002
25,6.24999984211172e-06,0.2971622347831726,0.7763345241546631,0.3607545793056488,0.7595314979553223
26,3.12499992105586e-06,0.30022063851356506,0.7735440731048584,0.3601066470146179,0.7596776485443115
27,3.12499992105586e-06,0.30156636238098145,0.7741867303848267,0.360677033662796,0.7595645189285278
28,3.12499992105586e-06,0.30131039023399353,0.7743569612503052,0.36054831743240356,0.7596263289451599
29,3.12499992105586e-06,0.29718536138534546,0.7774947881698608,0.36014696955680847,0.7596310377120972
