epoch,learning_rate,loss,mIoU,val_loss,val_mIoU
0,4.999999873689376e-05,0.5223658084869385,0.6452454328536987,0.44116801023483276,0.6920824646949768
1,4.999999873689376e-05,0.49171948432922363,0.6612069606781006,0.43378353118896484,0.6940428614616394
2,4.999999873689376e-05,0.4743569791316986,0.6696381568908691,0.42864716053009033,0.6972507238388062
3,4.999999873689376e-05,0.4633408486843109,0.6748940944671631,0.4229828417301178,0.6991819143295288
4,4.999999873689376e-05,0.4566349387168884,0.6782087683677673,0.42505115270614624,0.6998022794723511
5,4.999999873689376e-05,0.4520961344242096,0.6804889440536499,0.4226483702659607,0.6991841793060303
6,4.999999873689376e-05,0.4375912547111511,0.6883891224861145,0.4176778197288513,0.7025586366653442
7,4.999999873689376e-05,0.4359918534755707,0.6900773048400879,0.41960713267326355,0.7016704082489014
8,4.999999873689376e-05,0.43620291352272034,0.6886502504348755,0.4185759425163269,0.7024625539779663
9,4.999999873689376e-05,0.42964568734169006,0.6921803951263428,0.4146020710468292,0.7052779197692871
10,4.999999873689376e-05,0.42702051997184753,0.693744421005249,0.4126107394695282,0.7038007974624634
11,4.999999873689376e-05,0.4199362099170685,0.6974076628684998,0.41475677490234375,0.7041730880737305
12,4.999999873689376e-05,0.41981810331344604,0.6968973875045776,0.41397202014923096,0.7056239247322083
13,4.999999873689376e-05,0.4168398678302765,0.6990087628364563,0.41108015179634094,0.7070003747940063
14,4.999999873689376e-05,0.41858020424842834,0.697245717048645,0.4124698340892792,0.7070825695991516
15,4.999999873689376e-05,0.4098089635372162,0.7018929123878479,0.41111475229263306,0.7070053815841675
16,4.999999873689376e-05,0.4062936007976532,0.7043872475624084,0.40841078758239746,0.7088186144828796
17,4.999999873689376e-05,0.40886062383651733,0.7029232978820801,0.4077204465866089,0.7097808122634888
18,4.999999873689376e-05,0.4046653211116791,0.7052204608917236,0.40604421496391296,0.7096165418624878
19,4.999999873689376e-05,0.41149359941482544,0.7008516192436218,0.4107244610786438,0.7078374624252319
20,4.999999873689376e-05,0.41001150012016296,0.7022217512130737,0.4053584933280945,0.7099195718765259
21,4.999999873689376e-05,0.39992448687553406,0.7068591117858887,0.4043644070625305,0.7109712362289429
22,4.999999873689376e-05,0.3947310149669647,0.7097362279891968,0.40496572852134705,0.7115698456764221
23,4.999999873689376e-05,0.4004714787006378,0.7075935006141663,0.40820321440696716,0.7091445326805115
24,4.999999873689376e-05,0.3986794054508209,0.7089577913284302,0.4054187536239624,0.7112936973571777
25,4.999999873689376e-05,0.3940281569957733,0.7109241485595703,0.4078192710876465,0.7100003957748413
26,4.999999873689376e-05,0.39254030585289,0.711173415184021,0.4047531187534332,0.7132706642150879
27,4.999999873689376e-05,0.3920219838619232,0.7105439305305481,0.3995993435382843,0.7125273942947388
28,4.999999873689376e-05,0.3879471719264984,0.7137892246246338,0.4019554853439331,0.7132023572921753
29,4.999999873689376e-05,0.3836733400821686,0.7156221866607666,0.40149420499801636,0.7139507532119751
