epoch,learning_rate,loss,mIoU,val_loss,val_mIoU
0,5.999999848427251e-05,0.883051335811615,0.4997551441192627,0.545583188533783,0.6522130966186523
1,5.999999848427251e-05,0.625027596950531,0.611107349395752,0.49685975909233093,0.673082709312439
2,5.999999848427251e-05,0.5890835523605347,0.624634325504303,0.47519683837890625,0.6821937561035156
3,5.999999848427251e-05,0.5668417811393738,0.6342263221740723,0.46031537652015686,0.6880061030387878
4,5.999999848427251e-05,0.5572856664657593,0.6380434036254883,0.4527965784072876,0.6921912431716919
5,5.999999848427251e-05,0.5517780780792236,0.6413108110427856,0.4486430883407593,0.695077657699585
6,5.999999848427251e-05,0.5341923832893372,0.6499015092849731,0.4409106373786926,0.6980376839637756
7,5.999999848427251e-05,0.5357500910758972,0.6473824977874756,0.43442410230636597,0.7000623941421509
8,5.999999848427251e-05,0.5232053399085999,0.6511843204498291,0.4313626289367676,0.7019096612930298
9,5.999999848427251e-05,0.514552652835846,0.658002495765686,0.42777568101882935,0.7030593156814575
